tsne1,tsne2,label,code
22.611443,7.5953255,Other,3
30.789936,5.0090966,Other,3
9.186691,-21.215456,Other,3
30.338173,38.91723,Other,3
-6.8252573,-28.089579,Other,3
-41.070984,18.233091,Other,3
-21.695177,36.68329,Other,3
20.005434,-12.026234,Other,3
-23.091814,21.919409,Other,3
-5.0892043,28.840273,Top-Multi,2
-13.712234,-8.369583,Other,3
-41.42844,20.514595,Other,3
12.281753,12.087041,Other,3
6.9993243,42.713264,Other,3
33.744797,-1.8339999,Other,3
26.744339,-1.4113157,Other,3
-12.172055,-26.227875,Other,3
-3.8861501,3.709579,Other,3
5.9367304,40.02322,Other,3
20.00877,17.274021,Top-Multi,2
15.507091,32.687935,Top-Multi,2
-6.2771826,-0.4276388,Other,3
-5.677995,-35.339504,Other,3
16.270605,28.44699,Other,3
23.254677,-13.784335,Other,3
7.4217076,20.465712,Other,3
-22.873205,-30.220894,Other,3
-16.333494,-10.069984,Other,3
30.640928,28.983015,Other,3
-24.807835,-39.92575,Other,3
16.720968,49.81484,Other,3
-16.568241,-20.254467,Other,3
-0.5901458,-41.381927,Other,3
-5.1983447,15.50974,Other,3
13.67906,9.635344,Other,3
-6.7262793,13.629711,Top-Multi,2
17.53158,-30.985065,Other,3
0.062156793,47.15799,Other,3
11.665934,18.476843,Other,3
33.877487,7.9330797,Other,3
26.350573,-14.015623,Other,3
-21.94157,-33.752865,Other,3
46.790813,-4.6470056,Other,3
9.648631,42.354214,Other,3
39.454105,10.029117,Other,3
-4.965355,-17.51004,Other,3
-10.576746,-2.4892163,Other,3
42.36889,14.070542,Other,3
-15.849606,-8.493971,Other,3
-11.581222,-24.156666,Other,3
-14.085489,42.38767,Other,3
1.6037823,-43.21885,Other,3
-7.131785,-42.15094,Other,3
-18.60861,-36.224556,Top-Multi,2
13.323169,48.76986,Other,3
-14.061439,42.423965,Other,3
-20.087,-25.546038,Other,3
37.662956,16.266344,Other,3
-13.086023,-12.686209,Other,3
7.508889,36.394157,Other,3
21.534039,14.417399,Other,3
33.730545,-8.0139265,Other,3
-17.884047,-39.02646,Other,3
-44.72845,2.9351997,Other,3
3.0596187,8.768459,Other,3
29.47691,31.428173,Other,3
-1.817924,-16.272045,Other,3
-41.60188,-12.652382,Other,3
27.94417,-13.394129,Other,3
21.642025,-17.33728,Other,3
19.732346,-24.152409,Other,3
